comment,sadness,anger,confident,analytical
 non-canon death  rm section detailing single-episode situation. we really dont need a paragraph from every episode.,0.0,0.0,0.952663,0.0
lets not bicker about canon,0.0,0.0,0.0,0.0
 apocryphal and non-canon  fix my mistake... named from ->named for,0.0,0.0,0.0,0.735673
additional info from national geographic september 2005 canon ad,0.0,0.0,0.0,0.724236
 george lucas and star wars canon ,0.0,0.0,0.0,0.620279
merged existing content from the [[canon wordtank]] article (now a redirect),0.0,0.0,0.0,0.703409
spike&dru is obviously canon cause james marsters wrote it. its like saying amber bensons story isnt canon.,0.0,0.0,0.848841,0.0
spike&dru is obviously canon cause james marsters wrote it. its like saying amber bensons story isnt canon.,0.0,0.0,0.0,0.736855
 pali canon texts  - reasserted initial ordering of layperson -> arahant; the gist of the sentence (see the start of sentence) is that no matter how far you progress you are bound by moral codes.,0.0,0.0,0.0,0.595347
 accepted canon  added cross reference that provides fuller explanation,0.0,0.0,0.0,0.901894
 harold blooms western canon  one may well ask this but wikipedia oughtnt unless we can find a source that does.,0.0,0.0,0.0,0.762356
 l-series lenses  removed claim that canon doesnt call the lenses luxury. link shows canon doing so on their own web site.,0.0,0.0,0.0,0.919449
replaced virgin with madonna in madonna with canon van der paele all sources i can find have it as this title,0.0,0.0,0.598602,0.0
can someone please make articles on these non canon slayers? it seems only india cohen has.,0.0,0.0,0.0,0.0
 story  changed cannon to canon. xd,0.0,0.0,0.0,0.0
 influences canon and legacy ,0.0,0.0,0.0,0.920855
added additional information in infobox from canon usa website,0.0,0.0,0.0,0.724236
per ohotmu jla/avengers is also canon in the marvel universe. also what is need is there for separate alternate reality and non-canon sections?,0.0,0.0,0.78945,0.0
reverted 1 edit by [[special:contributions/91.194.220.7|91.194.220.7]] identified as [[wp:vand|vandalism]] to last revision by [[user:canon|canon]]. using [[wp:tw|tw]],0.0,0.0,0.0,0.720783
added non-canon slayers as they are a relatively large part of the buffyverse and did some general tidying up - spelling grammar etc.,0.0,0.0,0.0,0.0
 characteristics  what sources varies? the canon plot shows exactly what happens if no actual source could be given it should not be here.,0.0,0.0,0.0,0.0
 campaigns  shiro is not an assassin. there is no in-game reference to his profession. inferences are not canon.,0.0,0.0,0.0,0.643758
house of m isnt canon. apocalypse showed in x-factor #68 (1990) that he could withstand a whisper from black bolt including attacks from the other inhumans and the x-factor.,0.0,0.0,0.0,0.0
canon not ganon. also corrected information about the dark world.,0.0,0.0,0.0,0.891222
 quick quotes quill  removed non-canon statement,0.0,0.0,0.0,0.842108
added link to helpful guide for canon owners,0.0,0.0,0.0,0.825947
removed redundant comment from the note (canon link was established by enterprise),0.0,0.0,0.0,0.927842
 non-canon movie  rm unsourced speculation,0.0,0.0,0.0,0.0
a grammatical error was found in the 37th line of the definition of canon as it applies to music. the latin abbreviation i.e. meaning,0.0,0.629268,0.0,0.0
a grammatical error was found in the 37th line of the definition of canon as it applies to music. the latin abbreviation i.e. meaning,0.0,0.0,0.0,0.867256
correcting canon law (catholic church) links using [[wikipedia:autowikibrowser|awb]],0.0,0.0,0.0,0.882284
correcting canon law (catholic church) links using [[wikipedia:autowikibrowser|awb]],0.0,0.0,0.849827,0.0
disambiguation link to [[canon]],0.0,0.0,0.0,0.920855
because theres no reason to single out laodicea. ive provided a link to [[biblical canon]] for the full story and the many different canon lists.,0.0,0.0,0.0,0.965157
 origins  canon,0.0,0.0,0.0,0.982476
canonical or not is a matter of [[canon law]] and decided by [[full communion|communion]] check other articles on religion.,0.0,0.0,0.0,0.827997
removing references to t-800 non-canon name,0.0,0.0,0.0,0.842108
 appearances  matthews does not die therefore the deleted scene should not be considered canon.,0.0,0.0,0.0,0.895415
 c. warrington<!-- please do not change the c. to cassius. there is no cassius in canon and thus it is not his first name. this is a fan-inspired first name. thanks fbv65edel--> ,0.0,0.0,0.0,0.0
 c. warrington<!-- please do not change the c. to cassius. there is no cassius in canon and thus it is not his first name. this is a fan-inspired first name. thanks fbv65edel--> ,0.0,0.0,0.0,0.566171
wright quote about infinitys canon status quoted a paraphrase not him. added citation and clarifying quote.,0.0,0.0,0.0,0.921915
